id_instalacion,fecha_cierre,fecha_apertura,rut_jefe_cierre
103,1/23/2012 0:43,1/31/2012 6:54,44715611-3
173,8/21/2017 2:29,8/26/2017 2:50,91995839-1
18,12/17/2015 0:16,12/20/2015 16:05,82645956-5
34,10/18/2017 7:34,10/27/2017 17:02,14200344-9
91,8/29/2019 0:03,9/10/2019 15:26,74415365-4
174,7/2/2017 15:46,7/6/2017 19:52,41091494-8
88,12/11/2013 0:19,12/24/2013 2:38,73324033-4
46,1/11/2020 4:41,1/17/2020 15:41,67629255-1
153,6/2/2010 5:06,6/9/2010 14:38,38631846-8
192,2/22/2018 21:33,3/9/2018 6:33,33572631-6
191,8/25/2017 13:52,9/8/2017 15:51,32359787-1
28,9/26/2018 20:50,10/4/2018 0:57,94362008-3
82,5/15/2013 7:21,5/25/2013 8:59,86043030-4
13,7/21/2020 17:41,7/28/2020 22:58,79459402-3
144,1/6/2018 22:29,1/12/2018 5:36,70388205-6
183,3/28/2010 4:27,4/7/2010 15:58,34776869-3
105,11/2/2013 21:45,11/7/2013 11:52,95514882-7
207,9/30/2013 22:21,10/12/2013 22:35,79758989-6
21,5/20/2016 3:26,5/30/2016 12:41,82376572-k
56,3/30/2015 3:10,4/3/2015 17:41,63968995-6
125,6/11/2019 0:35,6/15/2019 6:54,84911278-3
160,2/28/2016 3:15,3/6/2016 11:41,96735305-1
184,6/1/2012 23:46,6/8/2012 2:16,14046488-0
77,4/4/2019 4:52,4/7/2019 7:38,78734770-3
10,8/11/2015 11:40,8/24/2015 18:23,49326776-0
116,9/21/2012 16:19,9/30/2012 2:43,52968708-7
134,2/16/2013 17:00,3/3/2013 3:28,80698616-k
210,9/4/2020 10:06,9/14/2020 2:23,83386046-1
185,12/24/2013 6:16,12/30/2013 16:52,86555166-5
27,2/4/2016 20:35,2/8/2016 2:06,69402733-4
213,2/22/2015 20:57,2/26/2015 23:20,72800848-2
140,10/28/2013 18:39,11/2/2013 4:04,68377701-3
164,11/12/2013 8:06,11/23/2013 11:24,61995722-9
60,3/26/2019 16:24,4/7/2019 21:01,54121962-5
115,10/7/2014 0:06,10/11/2014 13:14,27952560-4
129,8/30/2012 14:52,9/7/2012 6:49,20180335-7
203,1/5/2019 5:58,1/8/2019 20:43,75129314-3
171,1/8/2019 17:11,1/18/2019 23:33,11091024-k
65,8/18/2016 11:01,8/27/2016 3:40,71134226-5
101,2/6/2017 4:26,2/17/2017 16:17,89146700-1
48,3/22/2013 14:03,3/30/2013 0:31,11554909-k
133,5/28/2013 4:36,6/3/2013 6:51,31113786-7
10,1/21/2014 19:00,2/4/2014 6:59,11118739-8
28,2/24/2013 0:58,3/7/2013 3:42,83118985-1
31,3/19/2011 8:20,4/3/2011 0:13,90471139-k
148,7/11/2016 0:12,7/18/2016 6:37,89671041-9
25,10/1/2019 16:08,10/14/2019 8:44,42226798-0
102,4/16/2010 1:14,4/28/2010 2:11,34643031-1
47,1/9/2012 4:34,1/19/2012 6:03,27183294-k
21,8/28/2019 11:12,9/6/2019 3:39,35340502-0
207,12/19/2015 14:57,12/28/2015 22:37,79758989-6
201,7/1/2017 4:40,7/6/2017 20:40,86683089-4
200,9/8/2010 22:07,9/17/2010 6:18,35662780-6
135,4/29/2011 19:02,5/10/2011 20:16,70624789-0
100,9/29/2011 12:20,10/13/2011 15:23,34996262-4
1,10/16/2013 4:47,10/19/2013 18:04,73842540-5
105,2/27/2016 1:59,3/5/2016 11:54,67753422-2
59,4/5/2012 6:58,4/11/2012 16:15,16792411-5
146,4/29/2015 18:24,5/3/2015 0:27,69698793-9
84,5/28/2014 11:46,6/11/2014 12:53,35155157-7
78,3/3/2019 4:14,3/11/2019 12:17,56725663-4
72,6/17/2011 19:01,6/27/2011 21:00,46012714-9
173,12/9/2018 6:20,12/20/2018 15:58,22234852-8
193,10/30/2017 15:59,11/9/2017 3:33,35288330-1
79,7/5/2014 14:21,7/13/2014 1:14,92244003-4
185,3/14/2014 15:07,3/27/2014 7:30,88538509-5
139,2/2/2015 17:53,2/16/2015 22:33,51194123-7
34,1/22/2011 3:12,2/5/2011 3:51,83905334-7
3,11/11/2013 11:55,11/21/2013 15:14,27626683-7
74,3/2/2016 1:03,3/13/2016 11:41,80282829-2
36,6/26/2020 4:30,7/8/2020 9:40,48979148-k
174,1/9/2020 21:48,1/24/2020 0:42,41091494-8
147,4/4/2010 15:24,4/12/2010 2:21,16836029-0
11,3/1/2018 14:19,3/5/2018 20:28,42723522-k
212,2/4/2019 7:46,2/14/2019 15:40,70019535-k
0,9/23/2010 20:03,10/5/2010 21:19,75295314-7
41,8/27/2014 20:53,9/11/2014 11:39,87649058-7
137,7/20/2014 9:25,7/31/2014 17:54,28792266-3
148,5/7/2017 3:25,5/12/2017 10:24,69186141-4
198,2/25/2017 13:29,3/3/2017 19:13,86447590-6
108,12/5/2018 10:35,12/17/2018 2:14,49718772-9
209,2/16/2014 11:27,2/27/2014 17:57,92270331-0
100,6/15/2017 4:15,6/20/2017 10:32,92394961-5
182,12/3/2010 21:24,12/12/2010 9:57,81234956-2
7,11/3/2014 4:31,11/10/2014 16:20,87282538-k
191,4/30/2012 14:56,5/15/2012 5:18,92253121-8
41,2/19/2010 23:24,3/1/2010 10:57,38470405-0
160,12/15/2017 3:46,12/28/2017 15:01,18969557-8
109,11/29/2010 20:27,12/10/2010 10:12,40503382-8
14,7/16/2011 0:49,7/24/2011 8:23,10544563-6
133,5/20/2012 2:22,6/3/2012 18:12,31113786-7
109,6/13/2019 18:41,6/24/2019 20:24,75766984-6
165,5/4/2015 21:59,5/14/2015 0:39,87442136-7
24,6/23/2014 5:21,7/6/2014 10:47,44100123-1
101,5/8/2018 14:35,5/18/2018 16:58,62887150-7
143,1/5/2018 23:05,1/10/2018 11:42,14761964-2
108,4/1/2020 9:08,4/13/2020 21:50,49718772-9
147,8/26/2020 2:20,9/8/2020 2:51,81602032-8
