id_instalacion,tipo_instalacion,capacidad_instalacion,nombre_puerto,ciudad_puerto,region_puerto,rut_jefe,,
103,muelle,3,Quintero,Quintero,Valparaiso,73026642-1,,
173,muelle,2,Puerto Montt,Puerto Montt,Los Lagos,69822376-6,,
18,astillero,1,Lirquen,Penco,Biobio,12920124-k,,
34,astillero,1,Ancud,Ancud,Los Lagos,14200344-9,,
91,astillero,2,La Serena,La Serena,Coquimbo,13863556-2,,
174,astillero,3,Chacabuco,Aysen,Aysen del General Carlos Iba̱ez del Campo,11904025-6,,
88,astillero,3,Castro,Castro,Los Lagos,54480341-7,,
46,muelle,2,Talcahuano,Talcahuano,Biobio,77191435-7,,
153,muelle,1,Port Williams,Puerto Williams,Magallanes y de la Antartica chilena,23047484-2,,
192,muelle,1,Mejillones,Mejillones,Antofagasta,50728559-7,,
191,astillero,2,Chacabuco,Aysen,Aysen del General Carlos Iba̱ez del Campo,32359787-1,,
28,muelle,1,Quintero,Quintero,Valparaiso,94362008-3,,
82,astillero,1,Caleta Coloso,Antofagasta,Antofagasta,98357275-8,,
13,astillero,2,Caldera,Caldera,Atacama,10339840-1,,
144,muelle,1,Punta Patache,Iquique,Tarapaca,52189199-8,,
183,astillero,1,Castro,Castro,Los Lagos,26849996-2,,
105,astillero,2,Calderilla,Caldera,Atacama,67753422-2,,
207,muelle,1,Huasco,Huasco,Atacama,34039148-9,,
21,muelle,3,La Serena,La Serena,Coquimbo,35340502-0,,
56,astillero,2,Puerto Angamos,Mejillones,Antofagasta,63968995-6,,
125,muelle,1,Isla Guarello,Isla Guarello,Magallanes y de la Antartica chilena,87371798-k,,
160,muelle,1,Barquito,Cha̱aral,Atacama,96735305-1,,
184,astillero,1,Calderilla,Caldera,Atacama,52158784-9,,
77,muelle,3,Puerto Natales,Puerto Natales,Magallanes y de la Antartica chilena,79974368-k,,
10,astillero,1,Cruz Grande,La Higuera,Coquimbo,11118739-8,,
116,astillero,3,Coquimbo,Coquimbo,Coquimbo,95199785-4,,
